trip_date,ontime_trip_count,trip_count,ObjectId
2014/07/01 04:00:00+00,5479,5884,1
2014/07/02 04:00:00+00,5297,5612,2
2014/07/03 04:00:00+00,4959,5306,3
2014/07/04 04:00:00+00,1530,1558,4
2014/07/05 04:00:00+00,2420,2580,5
2014/07/06 04:00:00+00,2202,2369,6
2014/07/07 04:00:00+00,5048,5332,7
2014/07/08 04:00:00+00,5492,5925,8
2014/07/09 04:00:00+00,5668,6163,9
2014/07/10 04:00:00+00,5487,6027,10
2014/07/11 04:00:00+00,5142,5531,11
2014/07/12 04:00:00+00,2597,2835,12
2014/07/13 04:00:00+00,2312,2472,13
2014/07/14 04:00:00+00,5163,5459,14
2014/07/15 04:00:00+00,5504,5905,15
2014/07/16 04:00:00+00,5264,5766,16
2014/07/17 04:00:00+00,5406,6008,17
2014/07/18 04:00:00+00,4842,5555,18
2014/07/19 04:00:00+00,2506,2772,19
2014/07/20 04:00:00+00,2255,2414,20
2014/07/21 04:00:00+00,5069,5272,21
2014/07/22 04:00:00+00,5614,6174,22
2014/07/23 04:00:00+00,5469,5902,23
2014/07/24 04:00:00+00,5350,5805,24
2014/07/25 04:00:00+00,5108,5431,25
2014/07/26 04:00:00+00,2577,2759,26
2014/07/27 04:00:00+00,2113,2181,27
2014/07/28 04:00:00+00,4697,5069,28
2014/07/29 04:00:00+00,5450,5890,29
2014/07/30 04:00:00+00,5578,5975,30
2014/07/31 04:00:00+00,5291,5766,31
2014/08/01 04:00:00+00,4847,5529,32
2014/08/02 04:00:00+00,2388,2617,33
2014/08/03 04:00:00+00,2302,2415,34
2014/08/04 04:00:00+00,5258,5523,35
2014/08/05 04:00:00+00,5574,5981,36
2014/08/06 04:00:00+00,5700,6146,37
2014/08/07 04:00:00+00,5578,6023,38
2014/08/08 04:00:00+00,5267,5668,39
2014/08/09 04:00:00+00,2691,2897,40
2014/08/10 04:00:00+00,2353,2520,41
2014/08/11 04:00:00+00,5041,5295,42
2014/08/12 04:00:00+00,5560,5960,43
2014/08/13 04:00:00+00,5142,5534,44
2014/08/14 04:00:00+00,5473,6068,45
2014/08/15 04:00:00+00,5200,5666,46
2014/08/16 04:00:00+00,2652,2857,47
2014/08/17 04:00:00+00,2238,2368,48
2014/08/18 04:00:00+00,4991,5194,49
2014/08/19 04:00:00+00,5404,5852,50
2014/10/09 04:00:00+00,5614,6648,51
2014/10/10 04:00:00+00,5443,6178,52
2014/10/11 04:00:00+00,2639,2774,53
2014/10/12 04:00:00+00,2416,2543,54
2014/10/13 04:00:00+00,2765,2825,55
2014/10/14 04:00:00+00,5658,6437,56
2014/10/15 04:00:00+00,5785,6642,57
2014/10/16 04:00:00+00,5439,6390,58
2014/10/17 04:00:00+00,5349,5925,59
2014/10/18 04:00:00+00,2747,3039,60
2014/10/19 04:00:00+00,2241,2380,61
2014/10/20 04:00:00+00,5402,5947,62
2014/10/21 04:00:00+00,5963,6582,63
2014/10/22 04:00:00+00,5496,6448,64
2014/10/23 04:00:00+00,5076,6060,65
2014/10/24 04:00:00+00,5382,6039,66
2014/10/25 04:00:00+00,2831,3145,67
2014/10/26 04:00:00+00,2290,2417,68
2014/10/27 04:00:00+00,5318,5898,69
2014/10/28 04:00:00+00,5696,6565,70
2014/10/29 04:00:00+00,5865,6621,71
2014/10/30 04:00:00+00,5622,6423,72
2014/10/31 04:00:00+00,5239,5884,73
2014/11/01 04:00:00+00,2608,2792,74
2014/11/02 04:00:00+00,2005,2091,75
2014/11/03 05:00:00+00,5358,6141,76
2014/11/04 05:00:00+00,5705,6527,77
2014/11/05 05:00:00+00,6064,6755,78
2014/11/06 05:00:00+00,5580,6627,79
2014/11/07 05:00:00+00,5648,6258,80
2014/11/08 05:00:00+00,2905,3257,81
2014/11/09 05:00:00+00,2468,2608,82
2014/11/10 05:00:00+00,5720,6120,83
2014/11/11 05:00:00+00,4801,5222,84
2014/11/12 05:00:00+00,5921,6736,85
2014/11/13 05:00:00+00,6028,6906,86
2014/11/14 05:00:00+00,5507,6127,87
2014/11/15 05:00:00+00,2802,3105,88
2014/11/16 05:00:00+00,2407,2524,89
2014/11/17 05:00:00+00,5025,5856,90
2014/11/18 05:00:00+00,5767,6683,91
2014/11/19 05:00:00+00,6128,6894,92
2014/11/20 05:00:00+00,6065,6871,93
2014/11/21 05:00:00+00,5623,6257,94
2014/11/22 05:00:00+00,2800,3066,95
2014/11/23 05:00:00+00,2514,2644,96
2014/11/24 05:00:00+00,5164,5940,97
2014/11/25 05:00:00+00,5527,6524,98
2014/11/26 05:00:00+00,4662,4966,99
2014/11/27 05:00:00+00,2862,3136,100
2014/08/20 04:00:00+00,5517,6000,101
2014/08/21 04:00:00+00,5392,5717,102
2014/08/22 04:00:00+00,5090,5406,103
2014/08/23 04:00:00+00,2387,2618,104
2014/08/24 04:00:00+00,2270,2407,105
2014/08/25 04:00:00+00,4913,5241,106
2014/08/26 04:00:00+00,5429,5858,107
2014/08/27 04:00:00+00,5437,5852,108
2014/08/28 04:00:00+00,5212,5640,109
2014/08/29 04:00:00+00,4918,5294,110
2014/08/30 04:00:00+00,2558,2719,111
2014/08/31 04:00:00+00,2353,2445,112
2014/09/01 04:00:00+00,1847,1896,113
2014/09/02 04:00:00+00,5189,5761,114
2014/09/03 04:00:00+00,5480,6339,115
